G_ID,SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES
1642,Ligustrum obtusifolium,LIGOBT,Sieb. & Zucc.,0,,JAPANESE PRIVET,Oleaceae,,UPL,shrub,W,advent,LIOB,,DI,adventive,,,,
1643,Ligustrum ovalifolium,LIGOVA,Hassk.,0,,CALIFORNIA PRIVET,Oleaceae,,UPL,shrub,W,advent,LIOV,,DI,adventive,,,,
1644,Ligustrum sp.,LIGUST,L.,,,PRIVET,Oleaceae,,ND,shrub,W,advent,LIGUS2,,DI,,,,,
1645,Ligustrum vulgare,LIGVUL,L.,0,,COMMON PRIVET,Oleaceae,,FACU,shrub,W,advent,LIVU,,DI,adventive,FACU,FACU,FACU,
1646,Lilium canadense,LILCAN,L.,5,,CANADA LILY,Liliaceae,,FAC,forb,PE,partial,LICA3,,MO,native,FAC,FAC,FAC,
1647,Lilium michiganense,LILMIC,Farw.,6,,MICHIGAN LILY,Liliaceae,,FAC,forb,PE,shade,LIMI9,,MO,native,FACW,FACW,FACW,
1648,Lilium philadelphicum,LILPHI,L.,7,,WOOD LILY,Liliaceae,295,FACU,forb,PE,shade,LIPH,E,MO,native,FACU,FAC,FAC,
1649,Lilium sp.,LILIUM,L.,,,LILY,Liliaceae,,ND,forb,PE,partial,LILIU,,MO,,,,,
1650,Lilium superbum,LILSUP,L.,8,,TURK'S-CAP LILY,Liliaceae,,FACW,forb,PE,partial,LISU,,MO,native,FACW,FACW,FACW,
1651,Linaria canadensis,LINCAN,(L.) Chaz.,4,,OLD-FIELD TOADFLAX,Scrophulariaceae,,UPL,forb,AN,full,NUCA,E,DI,native,,,,
